,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
750,"Домье, Оноре",750,3,2,1854.0,Q187506
801,"Арбатова, Мария Ивановна",801,1,5,0.0,Q4068646
1100,"Алов, Александр Александрович",1100,1,4,0.0,Q2359384
1644,"Чирков, Борис Петрович",1644,2,12,7393.975790946604,Q584450
2611,Сент-Винсент и Гренадины,2611,3,25,1909.1587380011294,Q757
3786,Корякский автономный округ,3786,4,4,77758.61396070613,Q17094638
6040,"Бондарчук, Сергей Фёдорович",6040,6,16,127869.97953866525,Q55190
6246,Абу-Симбел,6246,1,2,0.0,Q134140
8499,"Штауффенберг, Клаус Шенк фон",8499,3,12,3580.767085556604,Q21209
8790,Триасовый период,8790,3,10,7408.0,Q47158
9656,Допинг,9656,4,27,12946.0,Q166376
9682,Краснодар,9682,12,16,196094.79333805293,Q3646
11000,"Лелюшенко, Дмитрий Данилович",11000,1,15,0.0,Q2707811
11613,Алиса (группа),11613,18,3,32334.091056644735,Q2837199
11644,"Задерий, Святослав Геннадьевич",11644,11,3,0.1,Q4183898
11756,"Козак, Дмитрий Николаевич",11756,7,4,5788.077566702552,Q714330
13136,Иероним Стридонский,13136,3,20,1854.0,Q44248
14493,"Саган, Франсуаза",14493,2,12,9250.0,Q1646
14880,"Френкель, Ян Абрамович",14880,4,0,1854.0,Q771374
14945,Альт,14945,2,16,1854.0,Q80284
15184,Республика Косово,15184,12,25,1165.7095170171792,Q1246
15846,Торий,15846,1,4,0.0,Q1115
16227,Вооружённые силы Венгрии,16227,3,25,5.0,Q1161970
17016,Сон в летнюю ночь,17016,3,0,9254.0,Q104871
18293,"Милле, Жан-Франсуа",18293,1,2,0.0,Q148458
18718,"Милн, Алан Александр",18718,3,14,11792.683484555704,Q207036
18731,Великая Моравия,18731,4,10,19975.703920965294,Q193152
20703,Список пилотов чемпионата мира Формулы-1,20703,16,22,3355.0249104479203,Q172853
20890,Арсеньев (город),20890,2,10,1854.0,Q103850
21320,Сербия,21320,21,25,192656.3721023305,Q403
21466,Искусство Византии,21466,3,20,44039.0,Q211884
21750,Львовская область,21750,5,10,17255.08767347438,Q164193
21786,"Ищите женщину (фильм, 1982)",21786,2,5,3706.0,Q4205750
22532,"Тигипко, Сергей Леонидович",22532,2,26,0.0,Q379720
23036,Сунь-цзы,23036,1,8,0.0,Q37151
23267,"Канарис, Вильгельм Франц",23267,3,12,34855.581424297154,Q57129
24606,Кукушка (фильм),24606,4,14,2342.310188014016,Q387140
24655,"Кейв, Ник",24655,1,23,0.0,Q192668
24703,Суматра,24703,7,10,16629.173015872886,Q3492
25471,Ядерная война,25471,8,4,34669.720895569575,Q201424
25700,"Тихонов, Андрей Валерьевич",25700,5,1,52041.72568350496,Q502637
26999,МиГ,26999,4,8,5060.115890697726,Q188508
27135,Губернатор,27135,14,4,68596.75162686268,Q132050
28894,Наши (движение),28894,1,4,0.0,Q866632
28919,Палана,28919,1,4,0.0,Q695360
29284,Назрань,29284,7,4,66529.14389530073,Q163935
29433,Презерватив,29433,2,7,1854.0000000000002,Q14076
29465,Герои Российской Федерации — К,29465,7,4,13803.053400020253,Q4137396
30079,Макларен (автогоночная команда),30079,16,22,2795.128117377556,Q172030
30144,Македонский язык,30144,7,25,1639.400697237451,Q9296
30741,"Котенёв, Анатолий Владимирович",30741,1,10,0.0,Q4236011
31999,"Астрахан, Дмитрий Хананович",31999,7,15,39218.8208459079,Q4071683
33986,"Адабашьян, Александр Артёмович",33986,2,12,1853.9999999999998,Q4057207
34115,Елена Равноапостольная,34115,6,20,33130.5,Q170164
35109,"Команечи, Надя",35109,1,7,0.0,Q33228
35637,"Морозов, Сергей Иванович",35637,5,4,30224.13820595159,Q4303016
40761,Ява,40761,7,10,14797.173015872826,Q3757
40777,"Шварц, Исаак Иосифович",40777,2,5,5556.0,Q1366574
41605,Скопье,41605,9,25,9742.584445744746,Q384
42154,Сайт,42154,10,6,140111.86091560774,Q35127
42253,Несостоятельность,42253,2,6,5555.999999999999,Q152074
42926,"Кинчев, Константин Евгеньевич",42926,19,3,29062.060547870322,Q1958166
42927,"Самойлов, Пётр Сергеевич",42927,10,3,0.0,Q4406716
43656,Официальные языки Европейского союза,43656,2,26,1854.0000000000005,Q11150
44569,Кольчатые черви,44569,4,10,10.333333333333332,Q25522
44867,Каракас,44867,6,2,47183.98030780093,Q1533
45052,Граф Сен-Жермен,45052,2,14,18450.0,Q158208
46001,Кембрийский взрыв,46001,2,10,1854.0,Q32919
46317,Сербы,46317,9,25,98335.51787064801,Q127885
47459,"Дега, Эдгар",47459,5,2,4333.88950358056,Q46373
49269,Людовик I Благочестивый,49269,5,10,99188.22396732909,Q43974
51619,"Бартини, Роберт Людвигович",51619,2,0,56711.14668798019,Q544135
52323,Демаркация,52323,1,14,0.0,Q3851990
53541,Подполковник,53541,8,4,89373.25157825234,Q13099720
53786,Олимпик Марсель,53786,15,18,179462.62832838032,Q132885
53788,Бордо (футбольный клуб),53788,8,18,24404.095019018063,Q172476
55112,Золотой мяч (France Football),55112,7,13,3912.9636813210227,Q166177
55756,Авиационный комплекс имени С. В. Ильюшина,55756,14,8,3464.7694010715054,Q221419
56366,Пиренеи,56366,4,10,76187.0,Q12431
56557,Успение Пресвятой Богородицы,56557,2,20,1854.0,Q4069073
