,Qid,label,topic,probability,Modularity Class
55232472,Q60526029,2019_CFL_season,-1,-1,2
3946242,Q2525451,Eimuntas_Nekro?ius,-1,-1,12
8161118,Q4845743,Bobby_Carpenter_(American_football),-1,-1,2
51544610,Q1429374,Florence_Kasumba,-1,-1,3
692976,Q818588,Beorhtwulf_of_Mercia,-1,-1,4
50514830,Q24050378,Tammy_Abraham,-1,-1,6
14590846,Q3206285,List_of_active_Ukrainian_Navy_ships,-1,-1,6
38834392,Q5653859,ARA_San_Juan_(S-42),-1,-1,1
57089040,Q55080214,American_Soul,-1,-1,3
2648856,Q1217369,Jane_Eyre_(1943_film),-1,-1,3
11977166,Q1982240,Ilyushin_Il-112,-1,-1,9
53748336,Q29453129,Jonnu_Smith,-1,-1,2
332134,Q591238,Bill_Fagerbakke,-1,-1,9
10444102,Q427777,Science_and_technology_of_the_Song_dynasty,-1,-1,10
20034776,Q7836479,Tray_Blackmon,-1,-1,2
14501954,Q2860770,Are_You_Experienced?_(song),-1,-1,12
2383372,Q1703957,Rita_Johnson,-1,-1,3
201112,Q708853,Mario_Bunge,-1,-1,5
5729648,Q317974,Nicolas_Mahut,-1,-1,3
1226632,Q4555364,Tina_Hobley,-1,-1,0
36894194,Q6734350,Tr?z?guet_(Egyptian_footballer),-1,-1,11
3882218,Q2670534,Programming_language_theory,-1,-1,8
16172170,Q230470,Connie_Talbot,-1,-1,12
1352224,Q7892368,United_States_circuit_court,-1,-1,9
36682390,Q4595122,Bobak_Ferdowsi,-1,-1,8
2804704,Q2875,Gone_with_the_Wind_(film),-1,-1,3
16491946,Q5090717,Chen_Chi-mai,-1,-1,9
55089196,Q38204090,Feleipe_Franks,-1,-1,2
909006,Q124697,1900_(film),-1,-1,12
2888384,Q1369906,Henry_Daniell,-1,-1,3
1833654,Q13586568,Diverging_diamond_interchange,-1,-1,9
54088,Q1749168,Harry_Palmer,-1,-1,12
11659694,Q2078878,List_of_the_oldest_living_people,-1,-1,6
28323576,Q4886315,Ben_Purkiss,-1,-1,11
7034,Q104843,Cruiser,-1,-1,6
37601302,Q17065069,Whitehouse_High_School,-1,-1,11
1669640,Q5378035,England_national_football_team_records_and_statistics,-1,-1,11
44316528,Q18763620,Michigan_IMG_Sports_Network,-1,-1,2
2569570,Q683112,Turf_Moor,-1,-1,11
16706134,Q7404847,Salish_Wool_Dog,-1,-1,3
4173540,Q919655,Friday_on_My_Mind,-1,-1,0
15548838,Q7243046,Primal_Scream_discography,-1,-1,0
43659046,Q17612369,Florent_Hadergjonaj,-1,-1,11
57863442,Q55435557,2018?19_IIHF_Continental_Cup,-1,-1,11
547482,Q32940,Andamanese_languages,-1,-1,7
3500262,Q725397,"Paul_Robinson_(footballer,_born_December_1978)",-1,-1,11
8548856,Q454818,Shawna_Waldron,-1,-1,2
50375864,Q24765462,Trevor_Davis,-1,-1,2
49422336,Q21825093,Cha_Jun-hwan,-1,-1,6
36881830,Q26819142,Aleksander_?eferin,-1,-1,11
6673634,Q7293154,Ranjit_Chowdhry,-1,-1,1
2580516,Q6339252,KTVA,-1,-1,9
2473406,Q1085237,Tony_Warner,-1,-1,11
22567388,Q124879,Sebastian_Vollmer,-1,-1,2
950216,Q761869,Grisha-class_corvette,-1,-1,6
217750,Q1134147,The_Whisperers,-1,-1,9
65504,Q348163,John_Poindexter,-1,-1,9
27261798,Q391526,Chris_Skidmore,-1,-1,10
32481016,Q6510653,International_Business_Times,-1,-1,9
1060880,Q346751,Cha_Bum-kun,-1,-1,11
426670,Q3544060,USS_Tang_(SS-306),-1,-1,1
49398052,Q12860172,Yukultji_Napangati,-1,-1,7
26020338,Q541069,Jean_Muir_(actress),-1,-1,3
